Date,Close,High,Low,Open,Volume
2020-01-02,151.8295440673828,151.93352453696647,149.66487810348934,150.0902475068035,22622100
2020-01-03,149.93902587890625,151.19623925114328,149.409675916639,149.6554558446236,21116200
2020-01-06,150.3265380859375,150.39271401985718,147.94444966772303,148.48326139124163,20813700
2020-01-07,148.95594787597656,150.93156268718585,148.71018237427404,150.60072617609066,21634100
2020-01-08,151.3285675048828,151.99971686703032,149.30568631614628,150.23204869357042,27746500
2020-01-09,153.21910095214844,153.34199090041147,152.21711516271918,152.98278300469048,21385000
2020-01-10,152.51016235351562,154.28727811161113,152.35891539033636,153.9091751273673,20725900
2020-01-13,154.34396362304688,154.3723206204449,152.43451073060453,152.90714658550698,21626500
2020-01-14,153.2569122314453,154.6464628468558,152.86934735532085,154.44794943449625,23477400
2020-01-15,154.24942016601562,154.96783584765552,153.67281830910034,153.72007035240767,21417900
2020-01-16,157.07582092285156,157.14199687545099,155.0529397493098,155.35543366341506,23865400
2020-01-17,157.95489501953125,158.3046409067749,156.37627870580366,158.2573744405716,34371700
2020-01-21,157.38775634765625,158.98526801417273,157.32158039758605,157.55789835006,29517200
2020-01-22,156.6315155029297,158.3235598983311,156.61260603057121,158.23847448456866,24138800
2020-01-23,157.59573364257812,157.6713571260564,156.22509226083278,157.09474068527607,19680800
2020-01-24,156.00765991210938,158.36139201317255,155.44995298181732,158.3424825375192,24918100
2020-01-27,153.39869689941406,154.4385015834786,151.4325299482661,152.3305352170298,32078100
2020-01-28,156.40469360351562,156.68826363216436,154.14549435848608,154.81662932456064,24899900
2020-01-29,158.8434600830078,159.51460937852576,156.62208010292088,158.65440861589227,34754500
2020-01-30,163.32403564453125,164.52453468683692,161.44293985569806,164.52453468683692,51597500
2020-01-31,160.91360473632812,162.9648426873359,160.29918387299614,162.7852531721158,36142700
2020-02-03,164.83651733398438,164.94994534557068,161.07432481438784,161.1026818172844,30107000
2020-02-04,170.26229858398438,170.7538438044086,166.66081646367067,167.4453935423695,36433300
2020-02-05,170.05438232421875,174.1190537403817,168.64593664566272,173.95835927347207,39186300
2020-02-06,173.58029174804688,173.7598957252574,170.2056639835047,171.06586491451017,27751400
2020-02-07,173.82603454589844,175.47081270658518,172.4931978169128,172.8429581987189,33529100
2020-02-10,178.3727569580078,178.50509441167975,173.2210293650427,173.53297073949096,35844300
2020-02-11,174.34593200683594,180.2633282452073,173.45737421261373,180.21606177076302,53159900
2020-02-12,174.60113525390625,175.67874437299267,171.89765772024018,175.4235169852956,47062900
2020-02-13,173.6558837890625,176.03795827229686,172.86184453761513,173.0603579564026,35295800
2020-02-14,175.20611572265625,175.26282971697995,172.65387058847747,173.22103937911754,23149500
2020-02-18,176.98324584960938,177.42752477655208,175.34792957469273,175.4519100559709,27792200
2020-02-19,177.51400756835938,178.36706995832807,176.7462485247681,178.25333216315812,29997500
2020-02-20,174.8031768798828,177.4856045751215,171.65631012999017,177.20124557370298,36862400
2020-02-21,169.2771759033203,173.93114068656777,168.00705551331956,173.61834725384844,48572600
2020-02-24,161.97874450683594,165.44789308309143,154.71818051515862,159.02144511099954,68311100
2020-02-25,159.3057403564453,165.72269796356616,158.90762916974325,165.11607231858156,68073300
2020-02-26,161.2962646484375,164.22512915124068,159.43847946980046,160.86026003967774,56206100
2020-02-27,149.93150329589844,158.32001499596967,149.74193543338117,154.80348558750697,93174900
2020-02-28,153.56179809570312,155.17316122234865,144.07378619818417,144.46240975052115,97012700
2020-03-02,163.77967834472656,163.9029039869373,153.8461729566677,156.6897348186127,71030800
2020-03-03,155.93141174316406,165.87440256658573,153.79874085302225,164.73698098446346,71677000
2020-03-04,161.65650939941406,161.79868172015875,156.98358146183912,159.70393239129453,49814400
2020-03-05,157.5996551513672,161.95977394730102,157.0498982125775,157.3911261586159,47817300
2020-03-06,153.14471435546875,154.60440254772644,147.86516281770332,154.13047574382352,72821100
2020-03-09,142.76571655273438,149.5239179145605,142.17805189974058,143.12590557907217,70419300
2020-03-10,152.52859497070312,152.6328594420787,144.62349965654747,149.91252432041284,65354400
2020-03-11,145.61875915527344,149.47651594433142,143.2680717176468,148.9362468910333,56371600
2020-03-12,131.80850219726562,145.4670742719519,131.35353657797347,137.72311310044867,93226400
2020-03-13,150.54762268066406,153.4670141569079,133.39146289991785,139.8084372561925,92727400
2020-03-16,128.35830688476562,141.56191239022507,127.96021018863907,132.69947723266273,87905900
2020-03-17,138.92689514160156,139.8083919587841,127.96022314871765,132.69949067274422,81059800
2020-03-18,133.07861328125,138.38659817455317,127.97917175876371,130.80377087731736,81593200
2020-03-19,135.26821899414062,142.32023895199598,131.75167511472426,135.32508790671272,85922700
2020-03-20,130.18772888183594,139.42930369211481,128.7754214733434,138.38665869750938,84866200
2020-03-23,128.88916015625,133.2398202414943,125.6095939935449,129.8654484471508,78975200
2020-03-24,140.6046142578125,141.79891917510017,133.90329612577463,136.25396924994934,82516700
2020-03-25,139.25868225097656,146.28228256625601,136.9080088143488,141.14491656968082,75638200
2020-03-26,147.96945190429688,148.49077436791936,140.63305855292953,140.66149300884524,64568100
2020-03-27,141.89366149902344,146.8130233200836,141.4197347642484,143.83676400422027,57042300
2020-03-30,151.8745880126953,152.22530370208108,142.18752244275748,144.49081435919743,63420300
2020-03-31,149.48599243164062,156.18730963025092,148.39595215161313,151.08785281104335,77927200
2020-04-01,144.17799377441406,149.52388683618224,142.955269145982,145.02158279515615,57969900
2020-04-02,147.1637420654297,147.3722710107029,142.51926529474,143.94104566900393,49630700
2020-04-03,145.80828857421875,149.1731709979903,144.253809594689,147.0120664279878,41243300
2020-04-06,156.65174865722656,157.81760438772113,149.362753083422,151.95987682480546,67111700
2020-04-07,154.96461486816406,161.13513757689245,154.74659809212773,160.74651406806288,62769000
2020-04-08,156.51910400390625,157.9787925050275,154.97409766807493,157.0309386966601,48318200
2020-04-09,156.52857971191406,158.64228968699842,154.81296660681633,157.6849625327283,51385100
2020-04-13,156.8792266845703,156.93611004324742,153.83662506623762,155.77972762278742,41905300
2020-04-14,164.6421661376953,164.6895617099437,159.2394035526362,160.1872571452114,52874300
2020-04-15,162.91709899902344,164.5189740701982,160.4147658031758,162.2725509605704,40940800
2020-04-16,167.80801391601562,168.0355040124014,163.883900147735,165.21090401533556,50479600
2020-04-17,169.28668212890625,170.61367156696483,166.69903103004185,170.13974470150103,52765600
2020-04-20,165.9312286376953,169.42881030865183,165.86488641460832,167.41936555024498,36669600
2020-04-21,159.06881713867188,164.6137526846759,157.4479809248554,164.4526192889561,56203700
2020-04-22,164.47158813476562,164.926553888929,161.9123858808334,162.45265500207105,34620200
2020-04-23,162.4810791015625,165.93126598218663,161.99767892251862,165.0308078621168,32790800
2020-04-24,165.4478302001953,165.45730352841656,161.80807625592118,163.0876697944209,34277600
2020-04-27,164.97398376464844,167.67535885860636,164.26309329838,167.3815264466453,33194400
2020-04-28,160.9550323486328,166.50945553550488,160.55693553548355,166.43362550493845,34392700
2020-04-29,168.17767333984375,168.41463676243595,162.9170969287767,164.18721740272696,51286600
2020-04-30,169.8648681640625,170.99280191954153,167.0402537209176,170.613666224283,53875900
2020-05-01,165.46685791015625,169.3246156608056,164.93604759112102,166.63271412680183,39370500
2020-05-04,169.51416015625,169.6658202264792,164.73698364883285,165.39100504648349,30372900
2020-05-05,171.33401489257812,174.0733112718267,170.51886020205268,171.20131596449716,36839200
2020-05-06,173.02114868164062,174.59458875503694,172.1586131024777,172.58514422854194,32139300
2020-05-07,174.02597045898438,174.92642871255168,173.05915549446175,174.56623962588404,28316000
2020-05-08,175.04959106445312,175.35291115035147,173.79843186786684,175.33395002920838,30877800
2020-05-11,177.00222778320312,177.73206481211713,173.31507699714257,173.59942157303036,30892700
2020-05-12,172.99273681640625,177.28651200785853,172.79369568104167,177.05903642458475,32038200
2020-05-13,170.37669372558594,174.45246731650903,167.33407714285644,173.0306868403567,44711500
2020-05-14,171.1160125732422,171.26767262333027,166.51891673874835,168.28192504750183,41873900
2020-05-15,173.60888671875,177.30551035404773,167.77010447055184,169.72268077345782,46610400
2020-05-18,175.26763916015625,176.49036412535662,174.36718099656215,176.06383283345417,35264500
2020-05-19,174.0543975830078,176.86952452057,173.92169862979046,175.3813871151814,26799100
2020-05-20,176.4686279296875,176.6492240164961,174.83377793793983,175.6607026476636,31261300
2020-05-21,174.3490447998047,177.428649474258,174.21597626776312,176.22151846713524,29119500
2020-05-22,174.42507934570312,175.32805988927586,173.5030993721259,174.1209289284326,20826900
2020-05-26,172.58111572265625,177.26704182371978,172.13438260711965,177.11495937941368,36073600
2020-05-27,172.8092041015625,172.98030045667377,167.85714157024967,171.27890913531226,39517100
2020-05-28,172.4194793701172,175.03333595347735,171.44998664344763,171.79216481267713,33810200
2020-05-29,174.17794799804688,175.14745550760477,171.47854971997998,173.68368727702386,42130400
2020-06-01,173.7787322998047,173.94031445807596,172.47656081625482,173.50308105663945,22622400
2020-06-02,175.7557373046875,175.84127822950188,172.3719831360549,175.12840818262552,30794600
2020-06-03,176.1834716796875,176.7347596373877,174.49159444895008,175.67021158300358,27311000
2020-06-04,173.8642578125,176.6396969090423,173.2749565224485,175.17594339707023,28761800
2020-06-05,177.93238830566406,178.43614872306114,172.99932449815253,173.5791261393768,39893600
2020-06-08,179.0349578857422,179.2155539729429,175.3090250719007,176.73476533500545,33211600
2020-06-09,180.40367126464844,181.25910962308345,177.98940962513453,178.6927800443984,29783900
2020-06-10,187.0951690673828,188.69200596232676,181.55378927395938,181.66785837577257,43872300
2020-06-11,177.0484161376953,186.0685895505903,176.85832035143625,183.56880167969496,52854700
2020-06-12,178.4456787109375,182.2286392845335,176.01240284356672,181.1070492631869,43373600
2020-06-15,179.58624267578125,181.3731750815915,174.9003022190702,175.44209047106233,32770200
2020-06-16,183.98707580566406,185.89756295607665,181.9815334821753,183.34073253618902,42556700
2020-06-17,184.62387084960938,186.60089915769962,184.10109650074745,185.37475436642524,25687800
2020-06-18,186.60089111328125,186.76247326807626,184.39573922892131,184.39573922892131,23061600
2020-06-19,185.48880004882812,189.423842544377,184.74741628179572,188.7584999974735,44441100
2020-06-22,190.64047241210938,190.82105397926182,185.56482652138783,186.09710051660872,32818900
2020-06-23,191.91416931152344,193.85316990489886,191.45792193382675,192.0852512006235,30917400
2020-06-24,188.04563903808594,193.1878125857555,186.82900846349898,191.61950404139304,36740600
2020-06-25,190.42185974121094,190.6784970410009,185.79296114833386,188.00761269061277,27803900
2020-06-26,186.6103973388672,189.99415200060372,185.23218461473925,189.84206955429684,54675800
2020-06-29,188.61590576171875,188.7014466837992,183.96799378477183,186.08758992879393,26701600
2020-06-30,193.43492126464844,194.2808598745895,187.95058437366583,188.08365287961007,34310300
2020-07-01,194.56605529785156,196.13437858721664,191.78111574984317,193.0832874630938,32061200
2020-07-02,196.0487823486328,197.72166017594725,194.85116577047972,195.49749438312054,29315800
2020-07-06,200.26895141601562,200.67767110943888,197.78816312460114,198.49153344403433,31897600
2020-07-07,197.9402618408203,204.04242807649197,197.69313876394023,200.03134453942326,33600700
